timestamp,Close,Open,High,Low,Vol
2010-05-21,"5,062.90","5,073.10","5,084.00","4,957.10",0
2010-05-24,"5,069.60","5,062.90","5,109.40","5,021.60",0
2010-05-25,"4,940.70","5,069.60","5,069.60","4,898.50",0
2010-05-26,"5,038.10","4,940.70","5,097.90","4,940.50",0
2010-05-27,"5,195.20","5,038.10","5,195.40","5,038.10",0
2010-05-28,"5,188.40","5,195.20","5,240.30","5,186.00",0
2010-06-01,"5,163.30","5,188.40","5,192.10","5,063.20",0
2010-06-02,"5,151.30","5,163.30","5,163.30","5,072.50",0
2010-06-03,"5,211.20","5,151.30","5,262.50","5,151.30",0
2010-06-04,"5,126.00","5,211.20","5,261.70","5,102.00",0
2010-06-07,"5,069.10","5,126.00","5,126.00","5,040.30",0
2010-06-08,"5,028.10","5,069.10","5,084.10","4,984.70",0
2010-06-09,"5,085.90","5,028.10","5,085.90","4,998.10",0
2010-06-10,"5,132.50","5,085.90","5,149.70","5,030.90",0
2010-06-11,"5,163.70","5,132.50","5,184.40","5,116.70",0
2010-06-14,"5,202.10","5,163.70","5,215.20","5,163.70",0
2010-06-15,"5,217.80","5,202.10","5,242.10","5,149.10",0
2010-06-16,"5,237.90","5,217.80","5,257.30","5,209.40",0
2010-06-17,"5,253.90","5,237.90","5,293.80","5,233.20",0
2010-06-18,"5,250.80","5,253.90","5,289.10","5,239.40",0
2010-06-21,"5,299.10","5,250.80","5,331.50","5,250.80",0
2010-06-22,"5,247.00","5,299.10","5,299.10","5,210.00",0
2010-06-23,"5,178.50","5,247.00","5,247.90","5,165.80",0
2010-06-24,"5,100.20","5,178.50","5,211.80","5,091.00",0
2010-06-25,"5,046.50","5,100.20","5,130.50","5,031.70",0
2010-06-28,"5,071.70","5,046.50","5,085.60","5,024.70",0
2010-06-29,"4,914.20","5,071.70","5,071.70","4,899.00",0
2010-06-30,"4,916.90","4,914.20","4,961.90","4,898.50",0
2010-07-01,"4,805.80","4,916.90","4,916.90","4,790.00",0
2010-07-02,"4,838.10","4,805.80","4,880.90","4,805.80",0
2010-07-05,"4,823.50","4,838.10","4,863.40","4,821.10",0
2010-07-06,"4,965.00","4,823.50","4,967.60","4,823.50",0
2010-07-07,"5,014.80","4,965.00","5,014.80","4,892.00",0
2010-07-08,"5,105.50","5,014.80","5,123.50","5,014.80",0
2010-07-09,"5,132.90","5,105.50","5,150.60","5,098.80",0
2010-07-12,"5,167.00","5,132.90","5,193.20","5,128.60",0
2010-07-13,"5,271.00","5,167.00","5,272.30","5,167.00",0
2010-07-14,"5,253.50","5,271.00","5,287.30","5,205.80",0
2010-07-15,"5,211.30","5,253.50","5,268.40","5,187.50",0
2010-07-16,"5,158.90","5,211.30","5,273.60","5,153.30",0
2010-07-19,"5,148.28","5,129.80","5,198.00","5,113.00",0
2010-07-20,"5,139.46","5,172.90","5,175.30","5,089.00",0
2010-07-21,"5,214.64","5,186.90","5,245.30","5,183.00",0
2010-07-22,"5,313.81","5,185.10","5,320.80","5,177.50",0
2010-07-23,"5,312.62","5,321.30","5,328.30","5,273.00",0
2010-07-26,"5,351.12","5,352.80","5,354.30","5,301.30",0
2010-07-27,"5,365.67","5,361.00","5,412.80","5,351.30",0
2010-07-29,"5,313.95","5,328.40","5,375.50","5,302.00",0
2010-07-30,"5,258.02","5,294.50","5,322.50","5,244.30",0
2010-08-02,"5,397.11","5,305.00","5,402.80","5,300.00",0
2010-08-03,"5,396.48","5,390.20","5,399.30","5,353.00",0
2010-08-04,"5,386.16","5,380.10","5,406.80","5,317.30",0
2010-08-05,"5,365.78","5,392.90","5,418.30","5,356.80",0
2010-08-06,"5,332.39","5,391.10","5,409.50","5,306.80",0
2010-08-09,"5,410.52","5,392.30","5,420.80","5,387.80",0
2010-08-10,"5,376.41","5,394.90","5,407.80","5,346.80",0
2010-08-11,"5,245.21","5,336.30","5,340.50","5,241.80",0
2010-08-12,"5,266.06","5,220.80","5,274.00","5,208.80",0
2010-08-13,"5,275.44","5,299.10","5,308.80","5,225.30",0
2010-08-16,"5,276.10","5,277.30","5,304.80","5,226.50",0
2010-08-17,"5,350.55","5,288.50","5,355.30","5,273.30",0
2010-08-18,"5,302.87","5,326.40","5,331.30","5,294.80",0
2010-08-19,"5,211.29","5,321.70","5,337.30","5,202.80",0
2010-08-20,"5,195.28","5,208.80","5,232.50","5,158.80",0
2010-08-23,"5,234.84","5,214.00","5,268.80","5,184.50",0
2010-08-24,"5,155.95","5,202.60","5,203.00","5,106.50",0
2010-08-25,"5,117.24","5,148.80","5,168.50","5,068.80",0
2010-08-26,"5,155.84","5,146.90","5,168.80","5,125.30",0
2010-08-27,"5,201.56","5,138.30","5,219.80","5,119.80",0
2010-08-31,"5,225.22","5,143.30","5,226.80","5,128.30",0
2010-09-01,"5,366.41","5,248.50","5,371.80","5,224.80",0
2010-09-02,"5,371.04","5,348.00","5,384.50","5,342.30",0
2010-09-03,"5,428.15","5,383.30","5,455.80","5,372.80",0
2010-09-06,"5,439.19","5,459.80","5,461.80","5,432.00",0
