timestamp,Close,Open,High,Low,Vol
2010-05-21,84.57,84.57,84.57,84.57,0
2010-05-24,84.73,84.73,84.73,84.73,0
2010-05-25,82.58,82.58,82.58,82.58,0
2010-05-26,84.24,84.24,84.24,84.24,0
2010-05-27,86.92,86.92,86.92,86.92,0
2010-05-28,86.7,86.7,86.7,86.7,0
2010-05-31,86.7,86.7,86.7,86.7,0
2010-06-01,86.14,86.14,86.14,86.14,0
2010-06-02,85.88,85.88,85.88,85.88,0
2010-06-03,86.83,86.83,86.83,86.83,0
2010-06-04,85.45,85.45,85.45,85.45,0
2010-06-07,84.51,84.51,84.51,84.51,0
2010-06-08,83.79,83.79,83.79,83.79,0
2010-06-09,84.72,84.72,84.72,84.72,0
2010-06-10,85.42,85.42,85.42,85.42,0
2010-06-11,86.0,86.0,86.0,86.0,0
2010-06-14,86.51,86.51,86.51,86.51,0
2010-06-15,86.69,86.69,86.69,86.69,0
2010-06-16,87.02,87.02,87.02,87.02,0
2010-06-17,87.38,87.38,87.38,87.38,0
2010-06-18,87.27,87.27,87.27,87.27,0
2010-06-21,88.06,88.06,88.06,88.06,0
2010-06-22,87.16,87.16,87.16,87.16,0
2010-06-23,86.06,86.06,86.06,86.06,0
2010-06-24,84.76,84.76,84.76,84.76,0
2010-06-25,83.83,83.83,83.83,83.83,0
2010-06-28,84.22,84.22,84.22,84.22,0
2010-06-29,81.68,81.68,81.68,81.68,0
2010-06-30,81.83,81.83,81.83,81.83,0
2010-07-01,80.13,80.13,80.13,80.13,0
2010-07-02,80.62,80.62,80.62,80.62,0
2010-07-05,80.41,80.41,80.41,80.41,0
2010-07-06,82.84,82.84,82.84,82.84,0
2010-07-07,83.74,83.74,83.74,83.74,0
2010-07-08,85.18,85.18,85.18,85.18,0
2010-07-09,85.63,85.63,85.63,85.63,0
2010-07-12,86.28,86.28,86.28,86.28,0
2010-07-13,88.01,88.01,88.01,88.01,0
2010-07-14,87.69,87.69,87.69,87.69,0
2010-07-15,86.99,86.99,86.99,86.99,0
2010-07-16,86.1,86.1,86.1,86.1,0
2010-07-19,85.9,85.9,85.9,85.9,0
2010-07-20,85.85,85.85,85.85,85.85,0
2010-07-21,87.11,87.11,87.11,87.11,0
2010-07-22,88.74,88.74,88.74,88.74,0
2010-07-23,88.64,88.64,88.64,88.64,0
2010-07-26,89.35,89.35,89.35,89.35,0
2010-07-27,89.7,89.7,89.7,89.7,0
2010-07-28,89.0,89.0,89.0,89.0,0
2010-07-29,88.95,88.95,88.95,88.95,0
2010-07-30,87.98,87.98,87.98,87.98,0
2010-08-02,90.31,90.31,90.31,90.31,0
2010-08-03,90.31,90.31,90.31,90.31,0
2010-08-04,90.21,90.21,90.21,90.21,0
2010-08-05,89.91,89.91,89.91,89.91,0
2010-08-06,89.37,89.37,89.37,89.37,0
2010-08-09,90.71,90.71,90.71,90.71,0
2010-08-10,90.17,90.17,90.17,90.17,0
2010-08-11,87.97,87.97,87.97,87.97,0
2010-08-12,88.44,88.44,88.44,88.44,0
2010-08-13,88.69,88.69,88.69,88.69,0
2010-08-16,88.68,88.68,88.68,88.68,0
2010-08-17,89.8,89.8,89.8,89.8,0
2010-08-18,88.91,88.91,88.91,88.91,0
2010-08-19,87.33,87.33,87.33,87.33,0
2010-08-20,87.18,87.18,87.18,87.18,0
2010-08-23,87.85,87.85,87.85,87.85,0
2010-08-24,86.47,86.47,86.47,86.47,0
2010-08-25,85.72,85.72,85.72,85.72,0
2010-08-26,86.47,86.47,86.47,86.47,0
2010-08-27,87.2,87.2,87.2,87.2,0
2010-08-30,87.2,87.2,87.2,87.2,0
2010-08-31,87.64,87.64,87.64,87.64,0
2010-09-01,89.96,89.96,89.96,89.96,0
