file,mse,TP,FP,FN,TN,parameters,threshold_parameters,no_of_anomalies,first_label,length,first_label_ratio
lse_2009-07-24_2020-03-20.metric-Price.csv,10574231.585498,121.0,952.0,20.0,1188.0,lstmCells=10;learningRate=0.001;epochs=10;batch_size=1;training_ratio=0.11249999999999999;sequance_length=30,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.04241408214585079;,0.0,2689.0,2689.0,1.0
lse_2009-07-24_2020-03-20.metric-Open.csv,10548595.041161,121.0,940.0,20.0,1200.0,lstmCells=10;learningRate=0.001;epochs=10;batch_size=1;training_ratio=0.11249999999999999;sequance_length=30,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.04241408214585079;,0.0,2689.0,2689.0,1.0
lse_2009-07-24_2020-03-20.metric-High.csv,10752969.647315,121.0,916.0,20.0,1224.0,lstmCells=10;learningRate=0.001;epochs=10;batch_size=1;training_ratio=0.11249999999999999;sequance_length=30,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.04241408214585079;,0.0,2689.0,2689.0,1.0
lse_2009-07-24_2020-03-20.metric-Low.csv,10308372.118417999,121.0,961.0,20.0,1179.0,lstmCells=10;learningRate=0.001;epochs=10;batch_size=1;training_ratio=0.11249999999999999;sequance_length=30,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.04241408214585079;,0.0,2689.0,2689.0,1.0
