file,mse,TP,FP,FN,TN,parameters,threshold_parameters,no_of_anomalies,first_label,length,first_label_ratio
lse_2009-07-24_2020-03-20-Volume.metric-Vol.csv,210641721868.47,4.0,18.0,130.0,1949.0,ar=2;d=0;ma=2;training_ratio=0.11249999999999999,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.04249773345421577;,0.0,2486.0,2486.0,1.0
lse_2009-07-24_2020-03-20-Volume.metric-Close.csv,3932.213482,0.0,0.0,134.0,1967.0,ar=4;d=0;ma=0;training_ratio=0.11249999999999999,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.04249773345421577;,0.0,2486.0,2486.0,1.0
lse_2009-07-24_2020-03-20-Volume.metric-Open.csv,3849.1066840000003,0.0,0.0,134.0,1967.0,ar=4;d=0;ma=0;training_ratio=0.11249999999999999,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.04249773345421577;,0.0,2486.0,2486.0,1.0
lse_2009-07-24_2020-03-20-Volume.metric-High.csv,4267.630233,0.0,0.0,134.0,1967.0,ar=4;d=0;ma=0;training_ratio=0.11249999999999999,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.04249773345421577;,0.0,2486.0,2486.0,1.0
lse_2009-07-24_2020-03-20-Volume.metric-Low.csv,3870.2782409999995,0.0,0.0,134.0,1967.0,ar=4;d=0;ma=0;training_ratio=0.11249999999999999,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.04249773345421577;,0.0,2486.0,2486.0,1.0
lse_2009-07-24_2020-03-20.metric-Vol.csv,274931556759.0454,0.0,0.0,141.0,2140.0,ar=3;d=0;ma=4;training_ratio=0.11249999999999999,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.04241408214585079;,0.0,2689.0,2689.0,1.0
lse_2009-07-24_2020-03-20.metric-Close.csv,3391.435656,0.0,0.0,141.0,2140.0,ar=4;d=0;ma=0;training_ratio=0.11249999999999999,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.04241408214585079;,0.0,2689.0,2689.0,1.0
lse_2009-07-24_2020-03-20.metric-Open.csv,3327.975069,0.0,0.0,141.0,2140.0,ar=4;d=0;ma=0;training_ratio=0.11249999999999999,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.04241408214585079;,0.0,2689.0,2689.0,1.0
lse_2009-07-24_2020-03-20.metric-High.csv,3707.2988270000005,0.0,1.0,141.0,2139.0,ar=4;d=0;ma=0;training_ratio=0.11249999999999999,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.04241408214585079;,0.0,2689.0,2689.0,1.0
lse_2009-07-24_2020-03-20.metric-Low.csv,3335.538681,0.0,1.0,141.0,2139.0,ar=4;d=0;ma=0;training_ratio=0.11249999999999999,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.04241408214585079;,0.0,2689.0,2689.0,1.0
