timestamp,title,source,url,market_closed
2009-10-15,UPDATE 4-Sainsbury shares jump as Qatari bid talk revives,By Reuters,https://www.investing.com/news/equities-news/update-4-sainsbury-shares-jump-as-qatari-bid-talk-revives-94333,0.0
2009-10-21,FTSE flat early on; oil majors rally,By Reuters,https://www.investing.com/news/equities-news/ftse-flat-early-on;-oil-majors-rally-95999,0.0
2009-10-21,"FTSE slips as banks, commodity stocks retreat",By Reuters,"https://www.investing.com/news/equities-news/ftse-slips-as-banks,-commodity-stocks-retreat-96059",0.0
2009-10-21,"FTSE ends higher, buoyed by solid U.S. earnings",By Reuters,"https://www.investing.com/news/equities-news/ftse-ends-higher,-buoyed-by-solid-u.s.-earnings-96213",0.0
2010-05-31,"Most Europe stocks rise, erasing losses; DAX up 0.32%",By Investing.com,"https://www.investing.com/news/forex-news/most-europe-stocks-rise,-erasing-losses;-dax-up-0.32-140187",1.0
2011-01-17,European stocks fall ahead of EU finance meeting; DAX down 0.18%,By Investing.com,https://www.investing.com/news/stock-market-news/european-stocks-fall-ahead-of-eu-finance-meeting;-dax-down-0.18-187206,0.0
2011-03-07,U.S. stocks rise after the open on M&A activity; Dow up 0.6%,By Investing.com,https://www.investing.com/news/stock-market-news/u.s.-stocks-rise-after-the-open-on-m-a-activity;-dow-up-0.6-200024,0.0
2011-03-31,"UPDATE 2-LSE reports equity growth, moving on derivatives",By Reuters,"https://www.investing.com/news/stock-market-news/update-1-lse-reports-strong-listing-growth,-trading-flat-204748",0.0
2011-04-04,Malaysian stock exchange eyes LSE partnership-paper,By Reuters,https://www.investing.com/news/stock-market-news/malaysian-stock-exchange-eyes-lse-partnership-paper-205803,0.0
2011-04-05,SNAP ANALYSIS-Consequences of Australian rejection of ASX-SGX deal,By Reuters,https://www.investing.com/news/stock-market-news/snap-analysis-consequences-of-australian-rejection-of-asx-sgx-deal-205885,0.0
2011-04-05,Australia decision a new hurdle for TMX-LSE deal,By Reuters,https://www.investing.com/news/stock-market-news/australia-decision-a-new-hurdle-for-tmx-lse-deal-206134,0.0
