timestamp,Val,label
2012-08-07,305340,0
2012-08-08,290860,0
2012-08-09,243180,0
2012-08-10,361300,0
2012-08-13,188880,0
2012-08-14,353250,0
2012-08-15,176890,0
2012-08-16,356450,0
2012-08-17,451760,0
2012-08-20,279590,0
2012-08-21,371820,0
2012-08-22,440140,0
2012-08-23,325040,0
2012-08-24,228070,0
2012-08-28,246910,0
2012-08-29,223160,0
2012-08-30,424060,0
2012-08-31,368330,0
2012-09-03,157530,0
2012-09-04,223430,0
2012-09-05,560280,0
2012-09-06,520460,0
2012-09-10,265160,0
2012-09-11,206680,0
2012-09-12,554380,0
2012-09-13,371750,0
2012-09-17,475820,0
2012-09-18,532110,0
2012-09-19,331360,0
2012-09-20,381570,0
2012-09-21,473600,0
2012-09-24,167330,0
2012-09-25,390990,0
2012-09-26,446700,0
2012-09-27,540420,0
2012-09-28,2610000,0
2012-10-01,828790,0
2012-10-02,1250000,0
2012-10-03,1080000,0
2012-10-04,689390,0
2012-10-05,406850,0
2012-10-08,406950,0
2012-10-09,494760,0
2012-10-10,310220,0
2012-10-11,730090,0
2012-10-12,501530,0
2012-10-15,615720,0
2012-10-16,811230,0
2012-10-17,595650,0
2012-10-18,806930,0
2012-10-19,358610,0
2012-10-22,321890,0
2012-10-23,435130,0
2012-10-24,377770,0
2012-10-25,313950,0
2012-10-26,209950,0
2012-10-29,191570,0
2012-10-30,176530,0
2012-10-31,483410,0
2012-11-01,456370,0
2012-11-02,443790,0
2012-11-05,490200,0
2012-11-06,644700,0
2012-11-07,293810,0
2012-11-08,317980,0
2012-11-09,430330,0
2012-11-12,342070,0
2012-11-13,265540,0
2012-11-14,322310,0
2012-11-15,406960,0
2012-11-16,502710,0
2012-11-19,482800,0
2012-11-20,361250,0
2012-11-21,262570,0
2012-11-22,222960,0
2012-11-23,198210,0
2012-11-26,270730,0
2012-11-27,200400,0
2012-11-28,251830,0
2012-11-29,196020,0
2012-11-30,233320,0
2012-12-03,162190,0
2012-12-04,194140,0
2012-12-05,251210,0
2012-12-06,201870,0
2012-12-07,219080,0
2012-12-10,346860,0
2012-12-11,361960,0
2012-12-12,513090,0
2012-12-13,464670,0
2012-12-14,877040,0
2012-12-17,578620,0
2012-12-18,620950,0
2012-12-19,409190,0
2012-12-20,795420,0
2012-12-21,429730,1
2012-12-27,187480,1
2012-12-31,32840,1
2013-01-02,269280,0
2013-01-03,190920,0
2013-01-04,272100,0
2013-01-07,387070,0
2013-01-08,438240,0
2013-01-09,396310,0
2013-01-10,263510,0
2013-01-11,220140,0
2013-01-14,261950,0
2013-01-15,241450,0
2013-01-16,368150,0
2013-01-17,391020,0
2013-01-18,204740,0
2013-01-21,158330,0
2013-01-22,392000,0
2013-01-23,456850,0
2013-01-24,334860,0
2013-01-25,725210,0
2013-01-28,282010,0
2013-01-29,588350,0
2013-01-30,405750,0
2013-01-31,364460,0
2013-02-01,523570,0
2013-02-04,310530,0
2013-02-05,626490,0
2013-02-06,343790,0
2013-02-07,431530,0
2013-02-08,261480,0
2013-02-11,265750,0
2013-02-12,745480,0
2013-02-13,565630,0
2013-02-14,303130,0
