"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 20, 2020","2,875.26","2,831.40","2,977.52","2,831.40","375.02M","1.55%"
"Mar 19, 2020","2,831.40","2,804.29","2,843.70","2,718.73","284.46M","0.97%"
"Mar 18, 2020","2,804.29","2,934.94","2,934.94","2,775.14","268.28M","-4.45%"
"Mar 17, 2020","2,934.94","2,882.19","2,970.52","2,780.76","273.90M","1.83%"
"Mar 16, 2020","2,882.19","3,023.10","3,023.10","2,743.68","305.13M","-4.66%"
"Mar 13, 2020","3,023.10","2,968.38","3,207.88","2,968.38","279.64M","1.84%"
"Mar 12, 2020","2,968.38","3,320.63","3,320.63","2,965.22","301.71M","-10.61%"
"Mar 11, 2020","3,320.63","3,366.61","3,434.74","3,313.33","207.71M","-1.37%"
"Mar 10, 2020","3,366.61","3,369.20","3,513.76","3,350.85","233.52M","-0.08%"
"Mar 09, 2020","3,369.20","3,640.96","3,640.96","3,334.08","278.79M","-7.46%"
"Mar 06, 2020","3,640.96","3,773.50","3,773.50","3,622.01","185.11M","-3.51%"
"Mar 05, 2020","3,773.50","3,838.93","3,851.30","3,751.86","156.29M","-1.70%"
"Mar 04, 2020","3,838.93","3,791.53","3,864.63","3,780.82","149.47M","1.25%"
"Mar 03, 2020","3,791.53","3,749.23","3,858.79","3,749.23","170.90M","1.13%"
"Mar 02, 2020","3,749.23","3,715.60","3,823.59","3,666.62","219.63M","0.91%"
"Feb 28, 2020","3,715.60","3,831.35","3,831.35","3,651.09","271.25M","-3.02%"
"Feb 27, 2020","3,831.35","3,974.21","3,974.21","3,796.22","170.01M","-3.59%"
"Feb 26, 2020","3,974.21","3,965.90","3,975.45","3,881.65","138.80M","0.21%"
"Feb 25, 2020","3,965.90","4,044.14","4,068.29","3,959.26","133.50M","-1.93%"
"Feb 24, 2020","4,044.14","4,181.51","4,181.51","4,021.31","139.50M","-3.29%"
"Feb 21, 2020","4,181.51","4,199.66","4,199.69","4,164.56","112.60M","-0.43%"
"Feb 20, 2020","4,199.66","4,208.61","4,222.72","4,199.66","103.81M","-0.21%"
"Feb 19, 2020","4,208.61","4,167.88","4,210.54","4,167.88","85.01M","0.98%"
"Feb 18, 2020","4,167.88","4,196.72","4,196.72","4,155.43","102.91M","-0.69%"
"Feb 17, 2020","4,196.72","4,184.27","4,206.21","4,184.27","58.08M","0.30%"
