"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 20, 2020","830.5","862.2","868.9","822.0","-","0.39%"
"Mar 19, 2020","827.3","820.2","835.1","795.9","-","1.05%"
"Mar 18, 2020","818.7","825.1","833.0","805.5","-","-4.04%"
"Mar 17, 2020","853.2","860.1","865.7","803.2","-","2.99%"
"Mar 16, 2020","828.4","818.2","836.0","776.0","-","-4.73%"
"Mar 13, 2020","869.5","894.8","922.1","853.8","-","2.67%"
"Mar 12, 2020","846.9","902.6","907.5","844.3","-","-10.82%"
"Mar 11, 2020","949.7","983.6","987.9","947.9","-","-1.54%"
"Mar 10, 2020","964.6","982.1","1,007.9","958.6","-","-0.20%"
"Mar 09, 2020","966.5","957.6","996.3","944.0","-","-7.61%"
"Mar 06, 2020","1,046.1","1,064.2","1,071.2","1,040.8","-","-3.60%"
"Mar 05, 2020","1,085.2","1,104.8","1,105.8","1,077.5","-","-1.47%"
"Mar 04, 2020","1,101.4","1,087.7","1,107.0","1,080.7","-","1.46%"
"Mar 03, 2020","1,085.5","1,086.8","1,104.8","1,080.8","-","1.07%"
"Mar 02, 2020","1,074.0","1,090.7","1,092.8","1,048.2","-","1.18%"
"Feb 28, 2020","1,061.5","1,063.0","1,073.3","1,041.3","-","-3.37%"
"Feb 27, 2020","1,098.5","1,115.9","1,122.4","1,087.0","-","-3.15%"
"Feb 26, 2020","1,134.2","1,122.7","1,134.2","1,105.6","-","0.41%"
"Feb 25, 2020","1,129.6","1,155.3","1,158.5","1,127.2","-","-1.94%"
"Feb 24, 2020","1,151.9","1,170.3","1,171.1","1,145.0","-","-3.42%"
"Feb 21, 2020","1,192.7","1,193.5","1,197.7","1,186.6","-","-0.38%"
"Feb 20, 2020","1,197.3","1,201.2","1,204.8","1,195.3","-","-0.20%"
"Feb 19, 2020","1,199.7","1,194.7","1,200.5","1,192.7","-","1.04%"
"Feb 18, 2020","1,187.3","1,183.9","1,194.2","1,182.6","-","-0.72%"
"Feb 17, 2020","1,195.9","1,197.1","1,198.7","1,193.8","-","0.34%"
"Feb 14, 2020","1,191.8","1,198.9","1,202.4","1,191.1","-","-0.58%"
"Feb 13, 2020","1,198.8","1,205.8","1,206.4","1,191.3","-","-0.94%"
"Feb 12, 2020","1,210.2","1,206.8","1,211.8","1,203.8","-","0.55%"
"Feb 11, 2020","1,203.6","1,202.7","1,208.9","1,202.2","-","0.68%"
"Feb 10, 2020","1,195.5","1,196.5","1,197.9","1,192.2","-","-0.24%"
"Feb 07, 2020","1,198.4","1,203.3","1,203.5","1,194.4","-","-0.56%"
"Feb 06, 2020","1,205.1","1,207.8","1,209.6","1,201.5","-","0.32%"
"Feb 05, 2020","1,201.2","1,188.1","1,206.0","1,188.1","-","0.58%"
"Feb 04, 2020","1,194.3","1,188.1","1,194.9","1,187.9","-","1.49%"
"Feb 03, 2020","1,176.8","1,171.7","1,182.3","1,169.2","-","0.66%"
"Jan 31, 2020","1,169.1","1,188.0","1,188.5","1,167.5","-","-1.41%"
"Jan 30, 2020","1,185.8","1,190.4","1,196.8","1,180.9","-","-1.31%"
"Jan 29, 2020","1,201.5","1,204.5","1,214.7","1,197.9","-","0.00%"
"Jan 28, 2020","1,201.5","1,193.7","1,202.7","1,189.2","-","0.95%"
"Jan 27, 2020","1,190.2","1,200.0","1,203.5","1,186.6","-","-2.31%"
"Jan 24, 2020","1,218.3","1,214.7","1,227.4","1,214.5","-","1.11%"
"Jan 23, 2020","1,204.9","1,214.8","1,215.2","1,204.5","-","-0.86%"
"Jan 22, 2020","1,215.4","1,224.5","1,226.7","1,214.2","-","-0.56%"
"Jan 21, 2020","1,222.3","1,222.2","1,223.2","1,212.2","-","-0.52%"
"Jan 20, 2020","1,228.7","1,232.8","1,234.3","1,226.8","-","-0.31%"
"Jan 17, 2020","1,232.5","1,226.0","1,235.2","1,225.0","-","0.82%"
"Jan 16, 2020","1,222.5","1,227.7","1,229.6","1,219.7","-","-0.39%"
"Jan 15, 2020","1,227.3","1,224.8","1,227.6","1,221.7","-","0.23%"
"Jan 14, 2020","1,224.5","1,223.2","1,228.6","1,218.2","-","0.11%"
"Jan 13, 2020","1,223.1","1,221.7","1,226.2","1,217.2","-","0.41%"
"Jan 10, 2020","1,218.1","1,225.3","1,225.8","1,217.8","-","-0.16%"
"Jan 09, 2020","1,220.1","1,221.3","1,225.1","1,219.2","-","0.32%"
"Jan 08, 2020","1,216.2","1,211.5","1,217.4","1,208.1","-","0.02%"
"Jan 07, 2020","1,216.0","1,219.8","1,221.5","1,214.3","-","-0.04%"
"Jan 06, 2020","1,216.5","1,217.2","1,220.4","1,208.7","-","-0.69%"
"Jan 03, 2020","1,224.9","1,215.9","1,225.1","1,212.6","-","0.30%"
"Jan 02, 2020","1,221.2","1,216.5","1,225.1","1,215.0","-","0.59%"
"Dec 31, 2019","1,214.0","1,214.2","1,217.9","1,210.5","-","-0.44%"
"Dec 30, 2019","1,219.4","1,228.3","1,228.3","1,218.0","-","-0.80%"
"Dec 27, 2019","1,229.2","1,231.3","1,234.8","1,225.7","-","0.15%"
"Dec 24, 2019","1,227.3","1,226.2","1,227.9","1,223.4","-","0.17%"
"Dec 23, 2019","1,225.2","1,217.9","1,226.4","1,214.7","-","0.57%"
"Dec 20, 2019","1,218.2","1,218.8","1,223.2","1,216.6","-","0.02%"
"Dec 19, 2019","1,217.9","1,213.0","1,219.0","1,209.3","-","0.48%"
"Dec 18, 2019","1,212.1","1,205.7","1,214.5","1,205.7","-","0.34%"
"Dec 17, 2019","1,208.0","1,207.8","1,210.9","1,204.2","-","0.02%"
"Dec 16, 2019","1,207.7","1,185.5","1,213.3","1,185.0","-","1.44%"
"Dec 13, 2019","1,190.6","1,187.6","1,203.5","1,181.0","-","1.06%"
"Dec 12, 2019","1,178.1","1,171.1","1,183.8","1,169.6","-","0.84%"
"Dec 11, 2019","1,168.3","1,169.5","1,174.7","1,165.2","-","0.00%"
"Dec 10, 2019","1,168.3","1,171.4","1,171.7","1,155.8","-","-0.27%"
"Dec 09, 2019","1,171.5","1,170.7","1,175.2","1,168.8","-","-0.09%"
"Dec 06, 2019","1,172.5","1,159.5","1,173.5","1,158.7","-","1.44%"
