file,mse,TP,FP,FN,TN,parameters,threshold_parameters,no_of_anomalies,first_label,length,first_label_ratio
FTSE350FinancialServices.metric-Vol.csv,0.0,0.0,0.0,0.0,0.0,ar=0;ma=0;training_ratio=0.11249999999999999,,0.0,0.0,0.0,0.0
FTSE350FinancialServices.metric-Close.csv,20957.170214,0.0,0.0,0.0,0.0,ar=4;ma=3;training_ratio=0.11249999999999999,,0.0,0.0,0.0,0.0
FTSE350FinancialServices.metric-Open.csv,21210.219917,0.0,0.0,0.0,0.0,ar=3;ma=2;training_ratio=0.11249999999999999,,0.0,0.0,0.0,0.0
FTSE350FinancialServices.metric-High.csv,17119.243801,0.0,0.0,0.0,0.0,ar=3;ma=2;training_ratio=0.11249999999999999,,0.0,0.0,0.0,0.0
FTSE350FinancialServices.metric-Low.csv,19360.532843,0.0,0.0,0.0,0.0,ar=4;ma=3;training_ratio=0.11249999999999999,,0.0,0.0,0.0,0.0
FTSE100.metric-Close.csv,,0.0,0.0,0.0,2486.0,,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.042546443135478014;,0.0,2486.0,2486.0,1.0
FTSE100.metric-High.csv,,0.0,0.0,0.0,2486.0,,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.042546443135478014;,0.0,2486.0,2486.0,1.0
FTSE100.metric-Low.csv,,0.0,0.0,0.0,2486.0,,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.042546443135478014;,0.0,2486.0,2486.0,1.0
FTSE100.metric-Open.csv,,0.0,0.0,0.0,2486.0,,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.042546443135478014;,0.0,2486.0,2486.0,1.0
FTSE100.metric-Vol.csv,,0.0,0.0,0.0,2486.0,,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.042546443135478014;,0.0,2486.0,2486.0,1.0
UK100.metric-Close.csv,,0.0,0.0,0.0,2485.0,,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.04249773345421577;,0.0,2486.0,2486.0,1.0
UK100.metric-High.csv,,0.0,0.0,0.0,2485.0,,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.04249773345421577;,0.0,2486.0,2486.0,1.0
UK100.metric-Low.csv,,0.0,0.0,0.0,2485.0,,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.04249773345421577;,0.0,2486.0,2486.0,1.0
UK100.metric-Open.csv,,0.0,0.0,0.0,2485.0,,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.04249773345421577;,0.0,2486.0,2486.0,1.0
UK100.metric-Vol.csv,,0.0,0.0,0.0,2485.0,,comparision_window_size=5;threshold_max_multipler=2;training_ratio=0.04249773345421577;,0.0,2486.0,2486.0,1.0
